Country Code;Country Label;City;Location;Coordinates;Pollutant;Value;Unit;Last Updated;Source Name
;;;;-11.996141,-76.922521;;36.7;;2025-12-04T00:05:00Z;
;;;;41.58885,-109.23784;;4.0;;2025-07-09T23:00:00Z;
;;;;40.7269,-73.8933;;5.9;;2026-01-19T08:00:00Z;
;;;;29.722800000000003,106.6263;;5.0;;2021-08-09T11:00:00Z;
;;;;18.3443,109.73479999999999;;15.0;;2021-08-09T11:00:00Z;
;;;;-17.61076,-71.340649;;-9999.0;;2025-12-04T00:00:00Z;
;;;;-17.634021,-71.335221;;-9999.0;;2025-12-04T00:00:00Z;
;;;;29.67659,-95.37288;;0.0;;2024-10-07T14:27:32Z;
;;;;29.67173,-95.36929;;6.12;;2026-01-19T09:00:07Z;
;;;;-14.087046,-72.106363;;1.8;;2025-12-04T00:00:00Z;
;;;;-16.487574,-71.519153;;35.2;;2025-12-04T00:05:00Z;
;;;;-4.916988,-80.858255;;5.1;;2025-12-04T00:05:00Z;
;;;;-7.739941,-79.183239;;17.4;;2025-01-08T12:05:00Z;
;;;;-14.110423,-72.242785;;1.2;;2025-12-04T00:05:00Z;
;;;;-9.999997,-76.000015;;13.6;;2024-06-13T14:15:00Z;
;;;;40.837158255667,14.2193183372579;;2.269387756075178;;2024-10-06T12:00:00Z;
;;;;-9.119182,-78.54401;;0.0;;2025-12-04T00:05:00Z;
;;;;-10.79368,-76.292123;;36.0;;2025-12-04T00:05:00Z;
;;;;-13.834835000000002,-76.141729;;7.5;;2025-01-08T12:00:00Z;
;;;;-17.09943,-70.681922;;14.7;;2025-12-04T00:05:00Z;
;;;;-11.985654,-76.925467;;106.2;;2025-12-04T00:00:00Z;
;;;;-17.647061,-71.3248;;-9999.0;;2025-12-04T00:00:00Z;
;;;;-14.008673,-72.001256;;9.2;;2025-01-08T12:00:00Z;
;;;;-9.102904,-78.565141;;0.0;;2025-12-04T00:00:00Z;
;;;;52.437165,-1.829999;;3.0;;2021-10-01T15:00:00Z;
;;;;23.2775,116.7258;;13.0;;2021-08-09T11:00:00Z;
;;;;7.570238000000001,99.58874300000001;;16.8;;2026-01-19T08:00:00Z;
;;;;-26.587334,27.841022;;0.204;;2024-03-12T11:00:00Z;
;;;;-28.731301,32.039016;;4.3943333288033815;;2026-01-19T09:00:00Z;
;;;;7.158502558743491,100.6113217561578;;14.333333333333334;;2026-01-19T09:00:00Z;
;;;;51.218352044676614,3.2048912311360485;;44.305833180745445;;2026-01-19T09:00:00Z;
;;;;-28.744719,32.054805;;3.4586527744928994;;2026-01-18T00:00:00Z;
;;;;41.7194,-83.475;;10.1;;2026-01-19T08:00:00Z;
;;;;35.6152942,-119.7026069;;40.45892826716105;;2025-09-12T20:00:00Z;
;;;;37.284067,126.97989200000002;;29.0;;2024-04-12T22:00:00Z;
;;;;41.62057,-83.64226;;9.4;;2026-01-19T08:00:00Z;
;;;;35.59095,-78.4622;;3.0;;2026-01-19T08:00:00Z;
;;;;-35.63386558517702,-59.77481854387068;;3.6168333371480306;;2025-12-12T13:00:00Z;
;;;;59.932931403229304,10.790277774001858;;5.453166675567627;;2026-01-19T09:00:00Z;
;;;;-34.92483786797323,138.59364410206908;;2.306249996026357;;2024-11-12T03:00:00Z;
;;;;41.645599999779066,-4.730300000005193;;5.0;;2026-01-16T13:00:00Z;
;;;;47.592675,-122.627397;;11.0;;2026-01-19T08:00:00Z;
